No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
844. Đình Lạc Nhuế, Đồng Hóa- Kim Bảng, Kiến trúc nghệ thuật, 26/01/2001, N/A
845. Đình Nhật Tân, Nhật Tân- Kim Bảng, Kiến trúc nghệ thuật, 24/4/2001, N/A
846. Đình Phương Lâm, Đồng Hóa- Kim Bảng, Kiến trúc nghệ thuật, 24/01/1998, N/A
847. Đình Phương Thượng, Lê Hồ- Kim Bảng, Lịch sử kiến trúc nghệ thuật, 02/12/1992, N/A
848. Đình Thượng, Thanh Sơn- Kim Bảng, Lịch sử kiến trúc nghệ thuật, 18/01/1993, N/A
849. Đền Bà Vũ, Chân Lý- Lý Nhân, Lịch sử, 24/3/1993, N/A
850. Đền Trần Thương, Nhân Đạo- Lý Nhân, Lịch sử danh thắng đặc biệt, 2015, đặc biệt
851. Đình Chương Lương, Bắc Lý- Lý Nhân, Kiến trúc nghệ thuật, 22/01/2009, N/A
852. Đình Đức Bản Ngoại, Nhân Nghĩa- Lý Nhân, Kiến trúc nghệ thuật, 22/01/2009, N/A
853. Đình Gia, Nhân Mỹ- Lý Nhân, Kiến trúc nghệ thuật, 26/01/2011, N/A
854. Đình Mạc Hạ, Công Lý- Lý Nhân, Kiến trúc nghệ thuật, 13/3/2001, N/A
855. Đình Ngò, Đức Lý- Lý Nhân, Kiến trúc nghệ thuật, 28/12/2001, N/A
856. Đình Thọ Chương, Đạo Lý- Lý Nhân, Kiến trúc nghệ thuật, 09/12/1994, N/A
857. Đình Trác Nội, Nhân Đạo- Lý Nhân, Kiến trúc nghệ thuật, 15/12/2004, N/A
858. Đình Vạn Thọ, Nhân Bình- Lý Nhân, Kiến trúc nghệ thuật, 12/02/1999, N/A
859. Đình Văn Xá, Đức Lý- Lý Nhân, Kiến trúc, 28/4/1962, 313-VH/VP
860. Đình Vĩnh Trụ, Tt. Vĩnh Trụ- Lý Nhân, Lịch sử nghệ thuật, 24/3/1993, N/A
861. Đình, chùa Cao Đà, Nhân Mỹ- Lý Nhân, Kiến trúc nghệ thuật, 05/11/1996, N/A
862. Đình, chùa Mạc Thượng, Chính Lý- Lý Nhân, Kiến trúc nghệ thuật, 26/01/2011, N/A
863. Đình, chùa Tế Xuyên, Đức Lý- Lý Nhân, Kiến trúc nghệ thuật, 05/11/1996, N/A
864. Đình, đền, chùa Nội Rối, Bắc Lý- Lý Nhân, Kiến trúc nghệ thuật, 29/3/2012, N/A
865. Khu di tích đình Đồng Lư (Thượng, Trung, Hạ), Chân Lý- Lý Nhân, Lịch sử kiến trúc nghệ thuật, 11/9/1993, N/A
866. Đền Lăng, Liêm Cần- Thanh Liêm, Lịch sử, 26/01/1999, N/A
867. Đình An Hòa, Thanh Hà- Thanh Liêm, Kiến trúc nghệ thuật, 07/5/1997, N/A
868. Đình An Xá, Thanh Tuyền- Thanh Liêm, Lịch sử kiến trúc nghệ thuật, 28/6/1996, N/A
869. Đình Cẩm Du, Thanh Lưu- Thanh Liêm, Kiến trúc nghệ thuật, 20/4/2001, N/A
870. Đình Chảy, Liêm Thuận- Thanh Liêm, Kiến trúc nghệ thuật, 24/01/1998, N/A
871. Đình Đống Cầu, Liêm Túc- Thanh Liêm, Lịch sử nghệ thuật, 05/9/1994, N/A
872. Đình Nguyễn Trung, Liêm Phong- Thanh Liêm, Kiến trúc nghệ thuật, 27/12/2001, N/A
873. Đình Ô Cách, Thanh Thủy- Thanh Liêm, Kiến trúc nghệ thuật, 15/12/2004, N/A
874. Đình, chùa Châu, Tt. Kiện Khê- Thanh Liêm, Lịch sử thắng cảnh, 05/02/1994, N/A
875. Đình, đền Hòa Ngãi, Thanh Hà- Thanh Liêm, Kiến trúc nghệ thuật, 21/8/2000, N/A
876. Kẽm Trống, Thanh Hải- Thanh Liêm, Danh thắng, 1962, 313-VH/VP
877. Đình Hạ, Đức Lý- Lý Nhân, Văn hóa kiến trúc, 7/1/2020, 40/QĐ-BVHTTDL 
878. Đình Mã Não, Ngọc Sơn- Kim Bảng, Văn hóa kiến trúc, 7/1/2020, 41/QĐ-BVHTTDL
879. Địa điểm lưu niệm Chủ tịch Hồ Chí Minh về thăm công trường đắp đập Cát Tường năm 1958, An Mỹ- Bình Lục, Lịch sử, 2018, N/A
880. Đình Đọi Tam, Đọi Sơn- Duy Tiên, Văn hóa kiến trúc, 2018, N/A
881. Đình Nam Xá Thượng, Nhân Nghĩa- Lý Nhân, Văn hóa kiến trúc, 2018, N/A
882. Đình, văn từ Cát Lại, Bình Nghĩa- Bình Lục, Văn hóa kiến trúc, 2018, N/A
883. Quần thể Danh lam thắng cảnh Tam Chúc, Ba Sao- Kim Bảng, Danh lam thắng cảnh, 2023, N/A
884. Căn cứ địa Lạt Sơn (gồm: Đền thờ nữ tướng Lê Chân; Núi Giát Dâu; Đồi Bụt), Thanh Sơn- Kim Bảng, Di tích lịch sử, 2023, N/A
885. Mộ và Khu lưu niệm Nam Cao, Hòa Hậu- Lý Nhân, Di tích lịch sử, 2023, N/A
886. Bát Cảnh Sơn, Tượng Lĩnh- Kim Bảng, Danh lam thắng cảnh, 2023, N/A
887. Khu lưu niệm Chủ tịch Hồ Chí Minh tại Phủ Chủ tịch, Ba Đình, Lịch sử đặc biệt, 1975, đặc biệt 2009
888. Ba Đình, Lịch sử, N/A, N/A, 
889. KDT Hoàng thành Thăng Long, Ba Đình, Lịch sử văn hóa đặc biệt, 2009, số 1272/QĐ-TTg
890. Khu khảo cổ 18 Hoàng Diệu (KDT Hoàng thành Thăng Long), Ba Đình, Lịch sử khảo cổ đặc biệt, 1999, Đặc biệt, Di sản thế giới năm 2010
891. Thành cổ Hà Nội (KDT Hoàng thành Thăng Long), Ba Đình, Lịch sử khảo cổ đặc biệt, 1999, Đặc biệt, Di sản thế giới năm 2010
892. Đền Voi Phục, Ba Đình, Lịch sử văn hóa, 1962, Thăng Long tứ trấn
893. Đền Quán Thánh, Ba Đình, Lịch sử văn hóa, 1962, Thăng Long tứ trấn
894. Đình Tường Phiêu, Phúc Thọ, Kiến trúc nghệ thuật đăc biệt, 2018, N/A
895. Đình So, Quốc Oai, Kiến trúc nghệ thuật đăc biệt, 2018, N/A
896. Đền Bà Chúa Kho (Hà Nội), Giảng Võ- Ba Đình, Lịch sử, 1994, N/A
897. Chùa Bát Tháp, Đội Cấn- Ba Đình, Văn hóa kiến trúc, 1989, N/A
897. Chùa Bát Tháp, Đội Cấn- Ba Đình, Văn hóa kiến trúc, 1989, N/A
898. Chùa Hòe Nhai, Ba Đình, Lịch sử văn hóa, 1989, N/A
899. Ngọc Hà, Ba Đình, Lịch sử văn hóa, N/A, N/A, 
900. Đền Đống Nước, Ngọc Hà- Ba Đình, Văn hóa kiến trúc, 1993, N/A
901. Đình Đại Yên, Hoàng Hoa Thám- Ba Đình, Lịch sử kiến trúc, 1990, N/A
901. Đình Đại Yên, Hoàng Hoa Thám- Ba Đình, Lịch sử kiến trúc, 1990, N/A
902. Đình Kim Mã, Kim Mã- Ba Đình, Văn hóa kiến trúc, 1990, N/A
903. Chùa Kim Sơn, Kim Mã- Ba Đình, Lịch sử văn hóa, 1985, N/A
904. Chùa Thiên Phúc, Cửa Nam- Hoàn Kiếm, Văn hóa kiến trúc, 1992, N/A
905. Trần Hưng Đạo, Hoàn Kiếm, Lịch sử kiến trúc, N/A, N/A, 
906. Đình Vũ Thạch, Tràng Tiền- Hoàn Kiếm, Văn hóa kiến trúc, 1986, N/A
907. Hàng Trống, Hoàn Kiếm, Văn hóa kiến trúc, N/A, N/A, 
908. Đền Lý Quốc Sư, Hàng Trống- Hoàn Kiếm, Lịch sử văn hóa, 1995, N/A
909. Đền Phù Ủng, Hàng Trống- Hoàn Kiếm, Lịch sử văn hóa, 1988, N/A
910. Hàng Trống, Hoàn Kiếm, Lịch sử văn hóa, N/A, N/A, 
911. Đình Nam Hương, Hàng Trống- Hoàn Kiếm, Lịch sử văn hóa, 1995, N/A
912. Đền Ngọc Sơn và khu vực Hồ Hoàn Kiếm, Hàng Trống- Hoàn Kiếm, Lịch sử văn hóa đặc biệt, 2013, 2383/QĐ-TTg
913. Đền Bà Kiệu, Lý Thái Tổ- Hoàn Kiếm, Lịch sử kiến trúc, 1994, N/A
914. Hàng Bạc, Hoàn Kiếm, Văn hóa kiến trúc, N/A, N/A, 
915. Hàng Buồm, Hoàn Kiếm, Lịch sử văn hóa, N/A, N/A, 
916. , , N/A, N/A, 
917. Nhà lưu niệm 48 Hàng Ngang, Nơi Bác Hồ khởi thảo bản Tuyên ngôn Độc lập khai sinh ra nước Việt Nam Dân chủ cộng hòa, Hoàn Kiếm, Lịch sử, 1979, N/A
918. Hoàn Kiếm, Lịch sử, N/A, N/A, 
919. Đền Quan Đế, Hoàn Kiếm, Văn hóa kiến trúc, 2015, N/A
920. Nhà 5D Hàm Long, Nơi thành lập Chi bộ Cộng sản đầu tiên của Việt Nam, Hoàn Kiếm, Lịch sử, N/A, N/A
921. Hoàn Kiếm, Văn hóa kiến trúc, N/A, N/A, 
922. Đền Lý Quốc Sư, Hoàn Kiếm, Lịch sử văn hóa, 1995, N/A
923. Nhà hát Lớn Hà Nội và Quảng trường Cách mạng tháng Tám, Hoàn Kiếm, Văn hóa nghệ thuật, 2011, N/A
924. Đền Bạch Mã, Hoàn Kiếm, Lịch sử văn hóa, 1986, Thăng Long tứ trấn
925. Chùa Hà, Cầu Giấy, Lịch sử văn hóa, 1995, N/A
926. Chùa Thánh Chúa, Cầu Giấy, Lịch sử văn hóa, 1989, N/A
927. Đền Đồng Nhân / Đền Hai Bà Trưng, Hai Bà Trưng, Lịch sử văn hóa đặc biệt, 1962, đặc biệt 2020
928. Chùa Quỳnh Lôi, Hai Bà Trưng, Lịch sử, 1995, Chùa Khánh Long
929. Chùa Liên Phái, Hai Bà Trưng, Lịch sử, 1962, N/A
930. Đình, đền và chùa Hòa Mã, Hai Bà Trưng, Lịch sử, 1986, N/A
931. Chùa Hưng Ký, Hai Bà Trưng, Lịch sử, 1992, N/A
932. Đình và chùa Mai Phúc, Long Biên, Lịch sử văn hóa, 1992, N/A
933. Đình Tứ Đình và chùa Sùng Phúc, Long Biên, Lịch sử, 1991, N/A
934. Đình Sài Đồng, Long Biên, Lịch sử văn hóa, 1992, N/A
935. Đình Gia Thụy và Gò Mộ Tổ, Long Biên, Lịch sử văn hóa, 1991, N/A
936. Chùa Bắc Biên, Long Biên, Lịch sử, 1989, N/A
937. Chùa Kim Liên, Tây Hồ, Lịch sử, 1962, N/A
938. Đình Yên Phụ, Tây Hồ, Lịch sử, 1986, N/A
939. Đình An Thái, Tây Hồ, Lịch sử văn hóa, 1994, N/A
940. Tây Hồ, Lịch sử, N/A, N/A, 
941. Tây Hồ, Lịch sử, N/A, N/A, 
942. Tây Hồ, Lịch sử, N/A, N/A, 
943. Tây Hồ, Lịch sử, N/A, N/A, 
944. Tây Hồ, Lịch sử, N/A, N/A, 
945. Láng Hạ, Đống Đa, Lịch sử, N/A, N/A, 
946. Miếu Trung Liệt và Gò Đống Đa, Trung Liệt- Đống Đa, Lịch sử, 1963, đăc biệt năm 2018
947. Chùa Bộc, Quang Trung- Đống Đa, Lịch sử, 1962, N/A
948. Chùa Đồng Quang, Quang Trung- Đống Đa, Lịch sử kiến trúc, 1990, N/A
949. Nam Đồng, Đống Đa, Lịch sử, N/A, N/A, 
950. Đình Nam Đồng, Nam Đồng- Đống Đa, Văn hóa kiến trúc, 1991, N/A
951. Đình chùa Trung Tự, Phương Liên- Đống Đa, Lịch sử văn hóa, 1992, N/A
952. Chùa Huy Văn, Văn Chương- Đống Đa, Lịch sử, 1996, N/A
953. Bích Câu đạo quán, Cát Linh- Đống Đa, Lịch sử văn hóa, 1990, N/A
954. Chùa Bà Nành, Văn Miếu- Đống Đa, Văn hóa kiến trúc, 1986, N/A
955. Chùa Bà Ngô, Văn Miếu- Đống Đa, Lịch sử văn hóa, 1993, N/A
956. Chùa Phổ Giác, Văn Miếu- Đống Đa, Lịch sử kiến trúc, 1991, N/A
957. Văn Miếu - Quốc Tử Giám, Bia tiến sĩ Văn Miếu Thăng Long, Văn Miếu- Đống Đa, Lịch sử kiến trúc đặc biệt, xx, đặc biệt 2012, Di sản tư liệu thế giới năm 2010
958. Y Miếu Thăng Long, Văn Miếu- Đống Đa, Lịch sử văn hóa, 1980, N/A
959. Chùa Quang Minh, Văn Miếu- Đống Đa, Văn hóa kiến trúc, 1993, N/A
960. Đình và đền Hào Nam, Ô Chợ Dừa- Đống Đa, Lịch sử kiến trúc, 1994, N/A
961. Chùa Thanh Nhàn, Ô Chợ Dừa- Đống Đa, Văn hóa kiến trúc, 1989, N/A
962. Chùa Láng, Láng Thượng- Đống Đa, Lịch sử văn hóa, 1962, N/A
963. Pháo Đài Láng, Láng Thượng- Đống Đa, Lịch sử, 1993, N/A
964. Chùa Phúc Khánh, Thịnh Quang- Đống Đa, Lịch sử văn hóa, 1988, N/A
965. Đài tưởng niệm Khâm Thiên, Khâm Thiên- Đống Đa, Lịch sử, 1979, N/A
966. Chùa Một Cột, Ba Đình, Văn hóa kiến trúc, 1962, N/A
967. Cây đa Bác Hồ, Ba Vì, Lịch sử, 2004, N/A
968. Chùa Long Sơn, Ba Vì, Di tích lịch sử, 1994, N/A
969. Đình Tây Đằng, Ba Vì, Lịch sử văn hóa đặc biệt, 2013, 2383/QĐ-TTg
970. Đền Hai Bà Trưng (Mê Linh), Mê Linh, Lịch sử văn hóa đặc biệt, 2013, 2383/QĐ-TTg
971. Đền Hát Môn, Phúc Thọ, Lịch sử văn hóa đặc biệt, 2013, 2383/QĐ-TTg
972. Chùa Bối Khê, Thanh Oai, Văn hóa kiến trúc, 1979, N/A
973. Chùa Đại Bi, Mỹ Đức, Văn hóa kiến trúc, 1991, N/A
974. Chùa Nành (Pháp Vân), Gia Lâm, Lịch sử văn hóa, 1989, N/A
975. Đình - Miếu Tế Xuyên và chùa Linh Quang Phòng, Đình Xuyên- Gia Lâm, Lịch sử văn hóa, 1992, N/A
976. Đền Phù Đổng, Gia Lâm, Lịch sử văn hóa đặc biệt, 2013, 2383/QĐ-TTg
977. Chùa Thần Quy, Phú Xuyên, Văn hóa kiến trúc, 1997, N/A
978. Đình Thạch Lỗi, Sóc Sơn, Lịch sử, 2006, N/A
979. Đền Sọ, Sóc Sơn, Lịch sử văn hóa, 1997, N/A
980. Đền Sóc, Sóc Sơn, Lịch sử văn hóa, 1962, đặc biệt 2014, số 2408/QĐ-TTg
981. Đình - chùa Lễ Pháp, Đông Anh, Lịch sử văn hóa, 1996, N/A
982. Di tích Cổ Loa, Đông Anh, Lịch sử văn hóa đặc biệt, 2012, 1419/QĐ-TTg
983. Đình Hạ Thái, Duyên Thái- Thường Tín, Lịch sử văn hóa, 2017, số 824/QĐ
984. Đền Nội Bình Đà, Bình Minh- Thanh Oai, Lịch sử văn hóa, 1991, N/A
985. Đình Ngoại Bình Đà, Bình Minh- Thanh Oai, Lịch sử văn hóa, 1992, N/A
986. Đình Đại Phùng, Đan Phượng- h.Đan Phượng, Lịch sử văn hóa, 2020, đặc biệt 2020
987. Quần thể Hương Sơn (Chùa Hương), Hương Sơn- Mỹ Đức, Lịch sử văn hóa đặc biệt, 2017, 2082/QĐ-TTg
988. Chùa Thầy, Sài Sơn- Quốc Oai, Lịch sử văn hóa đặc biệt, 2014, số 2408/QĐ-TTg
989. Chùa Tây Phương, Thạch Xá- Thạch Thất, Lịch sử văn hóa đặc biệt, 2014, số 2408/QĐ-TTg
990. Đình Chèm, Thụy Phương- Bắc Từ Liêm, Lịch sử văn hóa đặc biệt, 2017, 2082/QĐ-TTg
991. Hang Con Moong, trong Vườn quốc gia Cúc Phương, Thạch Thành, Lịch sử khảo cổ đặc biệt, 2007, Được đề cử là Di sản thế giới lên UNESCO, đặc biệt 2015
992. Đền thờ Lê Hoàn, Thọ Xuân, Kiến trúc nghệ thuật đăc biệt, 2018, N/A
993. Di chỉ Đông Sơn và Thiệu Dương, Thành phố Thanh Hóa, Lịch sử khảo cổ, 1962, số 313-VH/VP
994. Đền thờ Dương Đình Nghệ, Thành phố Thanh Hóa, Lịch sử văn hóa, xx, N/A
995. Chiến khu Ngọc Trạo, Thạch Thành, Lịch sử, 1996, N/A
996. Thành nhà Hồ, Vĩnh Lộc, Lịch sử khảo cổ kiến trúc đặc biệt, 2/6/2011, Di sản thế giới năm 2011, đặc biệt 1709/QĐ
997. Đền thờ Trần Khát Chân, Vĩnh Lộc, Lịch sử văn hóa, 2001, N/A
998. Từ đường Phúc Quang, Yên Định, Lịch sử văn hóa, 1995, N/A
999. Địa điểm đón Bác về thăm hợp tác xã Yên Trường, Yên Định, Lịch sử, 1993, N/A
1000. Đền thờ Lê Đình Kiên, Yên Định, Lịch sử, 1994, N/A
1001. Đền thờ Khương Công Phụ, Yên Định, Lịch sử văn hóa, 2001, N/A
1002. Đình Làng Sét, Yên Định, Lịch sử văn hóa, 1995, N/A
1003. Đền Đồng Cổ, Yên Định, Lịch sử văn hóa, 2001, N/A
1004. Chùa Sùng Nghiêm Diên Thánh, Hậu Lộc, Lịch sử văn hóa, 1990, Diên Thánh tự
1005. Khu di tích Đền Bà Triệu, Triệu Lộc- Hậu Lộc, Lịch sử văn hóa đặc biệt, 1979, đặc biệt 2014, số 2408/QĐ-TTg
1006. Đình làng Phú Đền, Triệu Lộc- Hậu Lộc, Lịch sử văn hóa đặc biệt, 1996, thuộc KDT đền Bà Triệu
1007. Đền thờ Lý Thường Kiệt, Hà Ngọc- Hà Trung, Lịch sử văn hóa, 2004, N/A
1008. Nhà thờ Nguyễn Hữu, Hà Trung, Lịch sử văn hóa, 2002, N/A
1009. Ly Cung (nhà Hồ), Hà Trung, Lịch sử văn hóa, 1997, N/A
1010. Lăng miếu Triệu Tường, Hà Trung, Lịch sử văn hóa, 2007, N/A
1011. Đình Gia Miêu, Hà Trung, Lịch sử văn hóa, 2000, N/A
1012. Đình Động Bồng, Hà Trung, Lịch sử văn hóa, 2001, N/A
1013. Đình làng Đình Trung, Hà Trung, Lịch sử văn hóa, 2004, N/A
1014. Đền thờ Trần Hưng Đạo (Thanh Hóa), Hà Trung, Lịch sử văn hóa, 1996, N/A
1015. Đền thờ Nguyễn Chích, Đông Sơn, Lịch sử văn hóa, 1992, N/A
1016. Đền thờ Nguyễn Văn Nghi, Đông Sơn, Lịch sử, 1990, N/A
1017. Đền thờ Nguyễn Nhữ Soạn, Đông Sơn, Lịch sử văn hóa, 1990, N/A
1018. Địa điểm lịch sử và thắng cảnh Rừng Thông, Đông Sơn, Lịch sử văn hóa, 1989, N/A
1019. Khu di tích Lam Kinh, Thọ Xuân, Lịch sử văn hóa kiến trúc đặc biệt, 1962, đặc biệt 2012, theo 1419/QĐ-TTg
1020. Đình Làng Gạo, Bỉm Sơn, Lịch sử văn hóa, 1993, N/A
1021. Đồi Ông, Bỉm Sơn, Lịch sử văn hóa, 1993, N/A
1022. Đền Cây Vải, Bỉm Sơn, Lịch sử văn hóa, 1993, N/A
1023. Đền Sòng Sơn - Đền Cô Chín, Bỉm Sơn, Lịch sử văn hóa, 1993, N/A
1024. Chùa Mật Đa, Thanh Hóa, Lịch sử văn hóa, 1989, N/A
1025. Khu di tích Hàm Rồng, Thanh Hóa, Lịch sử văn hóa, 1975, Nhà máy điện Hàm Rồng được bổ sung vào KDT năm 1992
1026. Đền thờ Võ Uy, Tân Phúc- Nông Cống, lịch sử văn hóa, 1994, N/A
1027. Đền thờ Lê Hiểm - Lê Hiêu, Tân Phúc- Nông Cống, lịch sử văn hóa, 1996, N/A
1028. Đài tưởng niêm 72 liệt sĩ Xô Viết – Nghệ Tĩnh, Yên Thành, Lịch sử, 1990, N/A
1029. Đền Phan Cảnh Quang, Yên Thành, Lịch sử, 2012, Đã trùng tu năm 2016
1030. Mộ và Nhà thờ Phan Vân, Yên Thành, Lịch sử, 2019, N/A
1031. Bia mộ Nguyễn Trường Tộ, Hưng Nguyên, Lịch sử, 1992, N/A
1032. Đền thờ Hoàng Nghĩa Lương, Hưng Nguyên, Lịch sử, 2009, N/A
1033. Hưng Nguyên, Lịch sử, N/A, N/A, Nơi xứ ủy Trung Kỳ đóng năm 1930- 1931
1034. Khu lưu niệm cố tổng Bí thư Lê Hồng Phong, Hưng Nguyên, Lịch sử, 1990, N/A
1035. Núi Lam Thành, Hưng Nguyên, Lịch sử, xx, N/A
1036. Hưng Nguyên, Văn hóa kiến trúc, N/A, N/A, 
1037. Hưng Nguyên, Lịch sử, N/A, N/A, 
1038. Hưng Nguyên, Lịch sử, N/A, N/A, 
1039. Đền thờ trạng nguyên Bạch Liêu, Hưng Nguyên, Lịch sử, 1993, N/A
1040. Đền Vua Lê, Hưng Nguyên, Lịch sử, 1998, Xuống cấp, tu bổ từ năm 2012
1041. Hưng Nguyên, Văn hóa kiến trúc, N/A, N/A, 
1042. Hưng Nguyên, Văn hóa nghệ thuật kiến trúc, N/A, N/A, 
1043. Nhà thờ Đặng Nguyên Cẩn, Đặng Thúc Hứa, Thanh Xuân- Thanh Chương, Lịch sử, 7/1/2020, 43/QĐ-BVHTTDL
1044. Đền Bạch Mã, Thanh Chương, Lịch sử, 1994, N/A
1045. Đền Hữu, Thanh Chương, Lịch sử, 2009, N/A
1046. Đình Bích Thị, Thanh Chương, Lịch sử, 2015, N/A
1047. Núi Thiên Nhẫn và Thành Lục Niên, Thanh Chương, Lịch sử danh thắng, 1964, N/A
1048. Đình Hoành Sơn, Nam Đàn, Lịch sử, 1980, đặc biệt 2017 tại 2082/QĐ-TTg
1049. Đền Nậm Sơn, Nam Đàn, Lịch sử, 1997, N/A
1050. Mộ Lê Hồng Sơn và đền Tán Sơn, Nam Đàn, Lịch sử, 1980, N/A
1051. Chùa Đức Sơn, Nam Đàn, Lịch sử, 2001, N/A
1052. Đền Nhạn Tháp, Nam Đàn, Lịch sử kiến trúc, 1993, Bị hư hại trong vụ hỏa hoạn năm 2014
1053. Mộ và đền thờ Lê Đức Tuy, Hùng Tiến- Nam Đàn, Lịch sử, 2018, N/A
1054. Nhà thờ Nguyễn Kế Hưng, Nghi Hợp- Nghi Lộc, Lịch sử, 2018, N/A
1055. Đền Đức Sơn, Vân Diên- Nam Đàn, Văn hóa kiến trúc, 2018, N/A
1056. Lăng mộ Tống Tất Thắng, Nam Đàn, Lịch sử, 1996, N/A
1057. Nam Đàn, Lịch sử, N/A, N/A, 
1058. Đình Trung Cần, Nam Đàn, Lịch sử, 1996, N/A
1059. Nam Đàn, Lịch sử, N/A, N/A, 
1060. Đền thờ Mai Hắc Đế, Nam Đàn, Lịch sử, 1996, N/A
1061. Khu mộ bà Hoàng Thị Loan, Nam Đàn, Lịch sử đặc biệt, N/A, Khu di tích lịch sử Kim Liên
1062. Cây đa, sân vận động, đền Làng Sen, Nam Đàn, Lịch sử đặc biệt, 1990, Khu di tích lịch sử Kim Liên. Đặc biệt năm 2012.
1063. Khu di tích Hoàng Trù (làng Chùa) quê ngoại của Chủ tịch Hồ Chí Minh, Nam Đàn, Lịch sử đặc biệt, 1990, Khu di tích lịch sử Kim Liên
1064. Nhà thờ họ Nguyễn Sinh, Nam Đàn, Lịch sử đặc biệt, 1991, Khu di tích lịch sử Kim Liên
1065. Nhà cụ Phó bảng Nguyễn Sinh Sắc - Nơi Chủ tịch Hồ Chí Minh sống thời niên thiếu ở Làng Sen, Nam Đàn, Lịch sử đặc biệt, 1990, Khu di tích lịch sử Kim Liên
1066. Nhà cụ Nguyễn Sinh Nhậm, Nam Đàn, Lịch sử, 1990, Khu di tích lịch sử Kim Liên
1067. Nhà cử nhân Vương Thúc Quý-Thầy học của Chủ tịch Hồ Chí Minh thời niên thiếu, Nam Đàn, Lịch sử, 1990, Khu di tích lịch sử Kim Liên
1068. Núi Chung, Nam Đàn, Lịch sử đặc biệt, 1991, Khu di tích lịch sử Kim Liên
1069. Khu lưu niệm Phan Bội Châu, Nam Đàn, Lịch sử đặc biệt, 2016, 2499/QĐ-TTg
1070. Mỹ Sơn, Đô Lương, Lịch sử, N/A, N/A, 
1071. Đền thờ Nguyễn Cảnh Hoan, Đô Lương, Lịch sử, 1991, N/A
1072. Đền thờ Thái Bá Du, Yên Sơn- Đô Lương, Lịch sử - Văn hóa, 1996, Quyết định số 51/QĐ–BT ngày 12/01/1996
1073. Đền thờ Nguyễn Xí, Nghi Lộc, Lịch sử, 1990, N/A
1074. Nghi Lộc, Lịch sử, N/A, N/A, 
1075. Nghi Lộc, Lịch sử, N/A, N/A, 
1076. Nhà thờ và mộ Nguyễn Thức Tự, Nghi Trường- Nghi Lộc, Lịch sử, 1992, N/A
1077. Nghi Lộc, Lịch sử, N/A, N/A, 
1078. Nghi Lộc, Lịch sử, N/A, N/A, 
1079. Nghi Lộc, Lịch sử, N/A, N/A, 
1080. Nghi Lộc, Lịch sử, N/A, N/A, 
1081. Đình, đền, chùa Trung Kiên, Nghi Lộc, Văn hóa kiến trúc, xx, N/A
1082. Diễn Châu, Lịch sử, N/A, N/A, 
1083. Diễn Châu, Lịch sử, N/A, N/A, 
1084. Khu lưu niệm đồng chí Phùng Chí Kiên, Diễn Châu, Lịch sử, 2011, N/A
1085. Chùa Cổ Am, Diễn Châu, Lịch sử, 1994, N/A
1086. Đền thờ Cao Lỗ, Diễn Châu, Lịch sử, 1995, N/A
1087. Lèn Hai Vai, Diễn Châu, Lịch sử văn hóa, 1994, N/A
1088. Diễn Châu, Lịch sử, N/A, N/A, 
1089. Diễn Châu, Lịch sử, N/A, N/A, 
1090. Đền thờ và mộ Ngô Trí Hòa, Diễn kỳ- Diễn Châu, Lịch sử, 1992, N/A
1091. Đền thờ và mộ Ngô Sỹ Vinh, Diễn kỳ- Diễn Châu, Lịch sử, 1992, N/A
1092. Thắng cảnh Hang Bua, Quỳ Châu, Lịch sử, 1997, N/A
1093. Quỳ Châu, Lịch sử, N/A, N/A, 
1094. Nhà ông Vi Văn Khang, Con Cuông, Lịch sử, 1994, Nơi chi bộ Môn Sơn họp bàn kế hoạch đấu tranh.
1095. Bia Ma Nhai, Con Cuông, Lịch sử, 2012, N/A
1096. Chùa Cần Linh, Vinh, Lịch sử kiến trúc, 1992, N/A
1097. Di tích Cồn Mô, Vinh, Lịch sử, 1997, N/A
1098. Đền Hồng Sơn, Vinh, Lịch sử, 1984, N/A
1099. Đền thờ Trần Quý Khoáng, Vinh, Lịch sử, 1999, N/A
1100. Đền Trìa, Vinh, Lịch sử, 1995, N/A
1101. Núi Quyết và Phượng Hoàng Trung Đô, Vinh, Lịch sử, 1998, số 313-VH/VP
1102. Núi Thiên Nhẫn và Thành Lục Niên, Hương Sơn- Hà Tĩnh & Nam Đàn- Nghệ An, Lịch sử văn hóa, 1962, số 313-VH/VP
1103. Rú Thành (Núi Lam Thành), Hưng Nguyên, Lịch sử văn hóa, 1962, số 313-VH/VP
1104. Thành cổ Vinh, Vinh, Lịch sử, 1998, N/A
1105. Bảo tàng Xô Viết Nghệ Tĩnh, Vinh, Lịch sử văn hóa, 1997, N/A
1106. Đền Vạn Lộc, Cửa Lò, Lịch sử văn hóa, 1991, N/A
1107. Nhà thờ Hoàng Văn, Cửa Lò, Lịch sử, 1994, N/A
1108. Nhà thờ, khu lăng mộ Hồ Tùng Mậu, Quỳnh Lưu, Lịch sử, 2000, N/A
1109. Mộ và đền thờ Hồ Sỹ Dương, Quỳnh Lưu, Lịch sử, 2007, N/A
1110. Nhà thờ họ Hoàng Khánh, Quỳnh Đôi, Quỳnh Lưu, Lịch sử văn hóa, 2000, N/A
1111. Nhà thờ họ Hồ, Quỳnh Đôi, Quỳnh Lưu, Lịch sử văn hóa, 1992, N/A
